Station Offset to Points Report,,,,
,,,,
Client:,Prepared by:,,,
Client,Preparer,,,
Client Company,Your Company Name,,,
Address 1,123 Main Street,,,
Date: 7/9/2024 1:03:22 PM,,,,
,,,,
,,,,
Alignment Name: massir baskol,,,,
Description:,,,,
"Station Range: Start: -0+000.00, End: 1+416.34",,,,
,,,,
Point,Station,Offset,Elevation,Description
441,0+659.90,-15.134m,"1,361.581m",
442,0+659.75,-18.578m,"1,361.645m",
443,0+679.88,14.868m,"1,361.646m",
444,0+679.91,11.316m,"1,361.671m",
445,0+679.94,3.396m,"1,362.036m",
446,0+679.97,4.955m,"1,361.970m",
447,0+680.02,0.062m,"1,361.938m",
448,0+679.97,-3.066m,"1,362.544m",
449,0+679.95,-1.885m,"1,362.388m",
450,0+679.95,-3.251m,"1,362.518m",
451,0+679.89,-8.160m,"1,362.782m",
452,0+680.00,-14.845m,"1,362.581m",
453,0+699.91,14.903m,"1,363.259m",
454,0+699.89,11.020m,"1,363.114m",
455,0+700.01,7.011m,"1,363.030m",
456,0+700.00,5.445m,"1,363.052m",
457,0+700.00,1.737m,"1,363.118m",
458,0+700.01,-0.056m,"1,363.231m",
459,0+699.94,-2.847m,"1,363.625m",
460,0+700.03,-3.326m,"1,363.613m",
461,0+700.04,-7.756m,"1,363.842m",
462,0+700.03,-14.710m,"1,363.717m",
463,0+719.91,15.154m,"1,364.607m",
464,0+720.00,10.882m,"1,364.618m",
465,0+719.89,7.607m,"1,364.614m",
466,0+719.98,0.214m,"1,364.705m",
467,0+719.97,2.947m,"1,364.568m",
468,0+720.00,-2.518m,"1,365.036m",
469,0+720.02,-3.131m,"1,364.853m",
470,0+719.98,-7.306m,"1,365.222m",
471,0+720.04,-7.868m,"1,365.398m",
472,0+719.93,-10.230m,"1,365.180m",
473,0+720.02,-14.412m,"1,365.160m",
474,0+739.89,14.929m,"1,366.012m",
475,0+739.89,12.165m,"1,366.130m",
476,0+740.01,8.993m,"1,366.242m",
477,0+740.01,5.861m,"1,366.185m",
478,0+739.86,-0.452m,"1,366.571m",
479,0+739.87,-2.075m,"1,366.601m",
480,0+739.96,-2.902m,"1,366.325m",
481,0+739.96,-7.049m,"1,366.539m",
482,0+739.94,-14.813m,"1,366.456m",
483,0+759.98,14.902m,"1,367.438m",
484,0+759.92,9.993m,"1,367.509m",
485,0+759.94,7.851m,"1,367.462m",
486,0+759.96,5.968m,"1,367.472m",
487,0+759.97,4.492m,"1,367.460m",
488,0+759.94,3.299m,"1,367.533m",
489,0+759.91,-0.069m,"1,367.585m",
490,0+759.98,-1.683m,"1,367.693m",
491,0+759.93,-2.357m,"1,367.511m",
492,0+759.97,-6.178m,"1,367.581m",
