Station Offset to Points Report,,,,
,,,,
Client:,Prepared by:,,,
Client,Preparer,,,
Client Company,Your Company Name,,,
Address 1,123 Main Street,,,
Date: 7/6/2024 8:45:25 AM,,,,
,,,,
,,,,
Alignment Name: massir asli d10,,,,
Description:,,,,
"Station Range: Start: 0+000.00, End: 21+556.62",,,,
,,,,
Point,Station,Offset,Elevation,Description
607,19+939.99,14.989m,"1,260.058m",
608,19+919.96,-14.946m,"1,260.391m",
609,19+920.03,-14.523m,"1,260.260m",
610,19+919.97,-13.143m,"1,260.286m",
611,19+920.11,-12.038m,"1,260.288m",
612,19+920.07,-11.558m,"1,260.305m",
613,19+919.92,-9.702m,"1,259.423m",
614,19+919.98,-7.863m,"1,258.347m",
615,19+919.94,-6.900m,"1,258.194m",
616,19+919.92,-6.515m,"1,258.200m",
617,19+919.89,-6.067m,"1,258.295m",
618,19+920.00,-4.481m,"1,258.043m",
619,19+919.96,-3.969m,"1,258.082m",
620,19+920.00,-3.548m,"1,258.087m",
621,19+919.92,-2.072m,"1,258.141m",
622,19+919.94,-0.011m,"1,257.989m",
623,19+919.99,1.957m,"1,258.105m",
624,19+919.95,2.598m,"1,258.288m",
625,19+919.99,3.824m,"1,258.545m",
626,19+920.01,5.789m,"1,258.764m",
627,19+919.91,7.617m,"1,259.013m",
628,19+919.97,10.036m,"1,259.330m",
629,19+919.94,15.055m,"1,259.529m",
630,19+899.99,-14.971m,"1,257.576m",
631,19+900.03,-13.377m,"1,257.549m",
632,19+899.92,-12.096m,"1,257.680m",
633,19+899.96,-11.701m,"1,257.849m",
634,19+899.91,-10.606m,"1,258.396m",
635,19+899.96,-9.076m,"1,259.195m",
636,19+899.99,-8.163m,"1,259.808m",
637,19+899.95,-7.845m,"1,259.838m",
638,19+899.90,-5.356m,"1,259.700m",
639,19+899.99,-3.949m,"1,259.714m",
640,19+899.93,-3.277m,"1,259.449m",
641,19+899.95,-1.492m,"1,258.573m",
642,19+899.93,0.030m,"1,257.725m",
643,19+899.95,1.978m,"1,257.626m",
644,19+899.90,2.814m,"1,257.652m",
645,19+899.88,3.654m,"1,257.607m",
646,19+900.00,5.874m,"1,257.518m",
647,19+899.93,7.064m,"1,257.538m",
648,19+899.98,9.308m,"1,257.543m",
649,19+899.98,10.929m,"1,257.716m",
650,19+899.96,12.060m,"1,257.805m",
651,19+900.00,15.048m,"1,258.083m",
652,19+879.96,-15.061m,"1,256.942m",
653,19+880.00,-14.636m,"1,256.957m",
654,19+879.88,-13.661m,"1,256.928m",
655,19+879.91,-10.363m,"1,257.359m",
656,19+879.98,-7.512m,"1,257.317m",
657,19+880.05,-3.998m,"1,257.367m",
658,19+879.89,-2.614m,"1,257.539m",
659,19+879.93,0.019m,"1,258.844m",
660,19+879.92,1.476m,"1,259.122m",
661,19+880.05,4.671m,"1,259.210m",
662,19+879.97,0.820m,"1,259.240m",
663,19+880.04,7.128m,"1,258.089m",
664,19+879.98,9.449m,"1,257.066m",
665,19+880.04,12.002m,"1,257.006m",
666,19+879.92,13.939m,"1,257.075m",
667,19+880.03,14.836m,"1,256.914m",
668,19+860.01,-15.013m,"1,256.287m",
669,19+859.97,-8.420m,"1,256.409m",
670,19+859.95,-7.915m,"1,256.413m",
671,19+859.88,-7.046m,"1,256.422m",
672,19+859.91,-4.837m,"1,256.706m",
673,19+859.99,-2.696m,"1,256.994m",
674,19+859.99,0.057m,"1,256.999m",
675,19+859.95,3.858m,"1,257.014m",
676,19+859.99,7.849m,"1,258.922m",
677,19+859.99,9.206m,"1,258.775m",
678,19+859.88,11.887m,"1,258.759m",
679,19+859.95,13.344m,"1,258.087m",
680,19+860.05,14.980m,"1,257.297m",
681,19+839.94,-14.973m,"1,254.868m",
682,19+840.01,-14.688m,"1,255.521m",
683,19+839.98,-13.229m,"1,255.721m",
684,19+840.01,-11.835m,"1,255.773m",
685,19+839.92,-10.481m,"1,255.929m",
686,19+839.99,-5.485m,"1,256.053m",
687,19+840.13,-3.056m,"1,256.071m",
688,19+839.94,-7.189m,"1,256.021m",
689,19+839.95,0.039m,"1,256.223m",
690,19+839.89,1.833m,"1,256.515m",
691,19+839.82,3.755m,"1,256.271m",
692,19+839.92,6.686m,"1,256.375m",
693,19+839.87,9.654m,"1,256.758m",
694,19+839.99,12.767m,"1,258.484m",
695,19+839.96,14.961m,"1,258.387m",
696,19+820.04,-14.941m,"1,254.416m",
697,19+820.00,-11.685m,"1,254.570m",
698,19+819.91,-8.566m,"1,255.398m",
699,19+820.01,-3.900m,"1,255.638m",
700,19+820.02,0.039m,"1,255.650m",
701,19+820.03,0.988m,"1,255.471m",
702,19+820.03,3.851m,"1,255.781m",
703,19+820.02,7.477m,"1,255.904m",
704,19+819.91,10.332m,"1,256.106m",
705,19+819.98,13.435m,"1,257.091m",
706,19+819.93,15.021m,"1,257.972m",
707,19+800.04,-14.995m,"1,254.418m",
708,19+800.02,-12.984m,"1,254.614m",
709,19+800.06,-11.562m,"1,254.530m",
710,19+799.99,-9.509m,"1,254.690m",
711,19+799.95,-8.590m,"1,254.751m",
712,19+799.95,-7.728m,"1,254.827m",
713,19+800.08,-6.363m,"1,254.872m",
714,19+799.96,-4.842m,"1,255.056m",
715,19+800.00,-1.179m,"1,255.167m",
716,19+799.99,0.041m,"1,255.185m",
717,19+799.94,3.401m,"1,255.057m",
718,19+799.97,3.847m,"1,254.972m",
719,19+799.90,7.667m,"1,255.319m",
720,19+800.02,11.689m,"1,255.241m",
721,19+800.05,14.949m,"1,256.316m",
722,19+779.99,-14.943m,"1,253.903m",
723,19+780.03,-7.786m,"1,254.339m",
724,19+780.10,-4.293m,"1,254.502m",
725,19+780.02,0.033m,"1,254.648m",
726,19+780.01,3.638m,"1,254.704m",
727,19+780.01,4.352m,"1,254.540m",
728,19+780.06,14.970m,"1,256.179m",
729,19+760.02,-15.005m,"1,253.818m",
730,19+759.99,-8.281m,"1,253.974m",
731,19+759.96,-5.949m,"1,253.861m",
732,19+759.96,-3.798m,"1,254.030m",
733,19+759.97,-0.029m,"1,254.160m",
734,19+759.96,3.831m,"1,254.184m",
735,19+760.01,5.472m,"1,253.925m",
736,19+760.03,14.924m,"1,255.980m",
737,19+759.89,8.894m,"1,254.622m",
738,19+740.00,-14.957m,"1,253.030m",
739,19+739.98,-11.430m,"1,252.983m",
740,19+739.96,-10.940m,"1,252.981m",
741,19+740.01,-7.868m,"1,253.310m",
742,19+739.95,-6.718m,"1,253.271m",
743,19+739.91,-3.699m,"1,253.623m",
744,19+739.96,0.024m,"1,253.733m",
745,19+739.99,3.316m,"1,253.744m",
746,19+739.97,4.271m,"1,253.649m",
747,19+740.00,5.384m,"1,253.453m",
748,19+740.00,6.921m,"1,253.978m",
749,19+739.98,7.884m,"1,253.796m",
750,19+740.00,8.396m,"1,253.815m",
751,19+740.01,10.410m,"1,254.192m",
752,19+740.01,10.970m,"1,254.139m",
753,19+739.98,11.188m,"1,254.096m",
754,19+739.96,11.823m,"1,254.073m",
755,19+740.02,13.818m,"1,254.445m",
756,19+739.95,15.041m,"1,255.035m",
757,19+720.00,-15.000m,"1,252.546m",
758,19+719.96,-13.602m,"1,252.868m",
759,19+719.93,-12.203m,"1,252.677m",
760,19+719.92,-10.511m,"1,252.752m",
761,19+719.93,-8.471m,"1,253.003m",
762,19+719.98,-6.743m,"1,252.899m",
763,19+720.01,-4.989m,"1,253.121m",
764,19+720.05,-4.348m,"1,253.173m",
765,19+719.98,-0.972m,"1,253.258m",
766,19+720.04,-0.010m,"1,253.262m",
767,19+720.01,2.873m,"1,253.316m",
768,19+719.98,3.715m,"1,253.274m",
769,19+719.97,4.405m,"1,253.074m",
770,19+720.02,6.438m,"1,253.549m",
771,19+719.99,9.372m,"1,253.219m",
772,19+720.00,13.071m,"1,253.439m",
773,19+720.01,13.788m,"1,253.614m",
774,19+720.02,14.918m,"1,254.263m",
775,19+699.99,-14.890m,"1,251.700m",
776,19+699.92,-12.628m,"1,251.567m",
777,19+699.98,-12.014m,"1,251.626m",
778,19+700.02,-11.141m,"1,251.674m",
779,19+699.96,-9.368m,"1,252.089m",
780,19+700.00,-8.380m,"1,252.022m",
781,19+699.99,-7.658m,"1,252.011m",
782,19+699.91,-7.248m,"1,252.105m",
783,19+699.95,-4.684m,"1,252.454m",
784,19+699.97,-1.397m,"1,252.577m",
785,19+699.94,0.001m,"1,252.582m",
786,19+700.00,2.488m,"1,252.590m",
787,19+700.02,3.997m,"1,252.518m",
788,19+699.91,8.878m,"1,252.966m",
789,19+699.91,11.380m,"1,253.185m",
790,19+699.97,15.032m,"1,253.972m",
791,19+679.97,-14.979m,"1,251.705m",
792,19+679.93,-13.927m,"1,251.637m",
793,19+679.91,-13.714m,"1,251.539m",
794,19+680.05,-10.962m,"1,251.567m",
795,19+679.97,-9.439m,"1,251.538m",
796,19+679.93,-7.925m,"1,251.612m",
797,19+679.94,-5.609m,"1,251.865m",
798,19+679.93,-2.082m,"1,251.976m",
799,19+680.01,0.011m,"1,251.986m",
800,19+680.02,1.792m,"1,251.999m",
801,19+679.99,2.772m,"1,251.972m",
802,19+680.01,3.787m,"1,251.902m",
803,19+680.00,7.243m,"1,252.647m",
804,19+679.97,4.838m,"1,252.108m",
805,19+679.97,8.107m,"1,252.360m",
806,19+679.95,10.476m,"1,252.116m",
807,19+679.91,13.148m,"1,252.198m",
808,19+679.91,14.957m,"1,253.005m",
809,19+659.98,-14.891m,"1,251.003m",
810,19+660.01,-11.891m,"1,250.745m",
811,19+660.02,-10.714m,"1,250.810m",
812,19+659.99,-9.265m,"1,250.882m",
813,19+659.94,-7.782m,"1,251.008m",
814,19+659.91,-5.891m,"1,251.241m",
815,19+660.01,-2.552m,"1,251.365m",
816,19+659.95,0.051m,"1,251.388m",
817,19+660.00,1.282m,"1,251.406m",
818,19+659.97,2.793m,"1,251.382m",
819,19+659.99,6.879m,"1,251.736m",
820,19+660.06,7.711m,"1,251.548m",
821,19+660.00,12.249m,"1,251.825m",
822,19+659.99,13.313m,"1,251.861m",
823,19+660.01,14.938m,"1,252.504m",
824,19+640.00,-14.933m,"1,250.172m",
825,19+640.02,-10.874m,"1,250.362m",
826,19+639.94,-8.994m,"1,250.549m",
827,19+640.00,-7.026m,"1,250.627m",
828,19+639.97,-6.215m,"1,250.703m",
829,19+640.00,-1.759m,"1,250.881m",
830,19+640.01,0.032m,"1,250.916m",
831,19+640.04,2.668m,"1,250.866m",
832,19+639.98,3.948m,"1,250.895m",
833,19+640.00,5.686m,"1,251.266m",
834,19+640.07,9.729m,"1,250.979m",
835,19+640.05,10.793m,"1,250.953m",
836,19+639.87,11.359m,"1,251.072m",
837,19+639.83,12.164m,"1,251.239m",
838,19+639.91,15.004m,"1,251.195m",
839,19+619.99,-15.028m,"1,249.770m",
840,19+619.93,-11.608m,"1,249.895m",
841,19+619.96,-9.853m,"1,250.214m",
842,19+620.02,-9.542m,"1,250.183m",
843,19+619.98,-9.416m,"1,250.076m",
844,19+620.01,-8.589m,"1,250.046m",
845,19+619.96,-7.279m,"1,250.200m",
846,19+620.02,-6.389m,"1,250.275m",
847,19+619.95,-3.128m,"1,250.433m",
848,19+620.01,-0.011m,"1,250.470m",
849,19+620.04,0.630m,"1,250.462m",
850,19+620.07,1.413m,"1,250.469m",
851,19+619.99,3.328m,"1,250.441m",
852,19+619.94,4.870m,"1,250.800m",
853,19+620.02,5.501m,"1,251.076m",
854,19+620.03,6.660m,"1,251.019m",
855,19+620.00,7.755m,"1,250.620m",
856,19+619.96,12.004m,"1,250.874m",
857,19+619.90,12.503m,"1,250.763m",
858,19+620.01,14.844m,"1,251.629m",
859,19+600.02,-15.010m,"1,249.154m",
860,19+600.00,-10.717m,"1,249.716m",
861,19+599.89,-8.748m,"1,249.702m",
862,19+599.98,-6.842m,"1,249.921m",
863,19+600.01,-6.245m,"1,249.979m",
864,19+600.02,-3.119m,"1,250.104m",
865,19+600.00,0.060m,"1,250.151m",
866,19+600.05,0.862m,"1,250.169m",
867,19+600.01,2.376m,"1,250.143m",
868,19+600.06,4.638m,"1,250.420m",
869,19+599.99,5.975m,"1,250.751m",
870,19+599.98,7.204m,"1,250.515m",
871,19+600.01,8.798m,"1,250.549m",
872,19+599.99,11.327m,"1,250.549m",
873,19+599.97,14.738m,"1,251.787m",
874,19+579.98,-14.986m,"1,248.648m",
875,19+580.01,-11.540m,"1,249.228m",
876,19+579.90,-9.802m,"1,249.559m",
877,19+579.93,-8.324m,"1,249.588m",
878,19+580.00,-6.739m,"1,249.700m",
879,19+580.02,-2.990m,"1,249.828m",
880,19+579.98,-0.015m,"1,249.896m",
881,19+579.99,0.609m,"1,249.887m",
882,19+580.02,2.203m,"1,249.804m",
883,19+579.94,5.116m,"1,250.117m",
884,19+579.91,6.630m,"1,250.099m",
885,19+580.02,11.359m,"1,250.279m",
886,19+580.02,14.975m,"1,251.059m",
887,19+559.99,-14.953m,"1,248.802m",
888,19+560.01,-12.367m,"1,249.057m",
889,19+560.00,-10.104m,"1,249.247m",
890,19+559.93,-9.578m,"1,249.176m",
891,19+560.04,-6.628m,"1,249.333m",
892,19+560.01,-4.105m,"1,249.445m",
893,19+560.00,-2.626m,"1,249.465m",
894,19+559.96,0.009m,"1,249.502m",
895,19+559.98,0.813m,"1,249.479m",
896,19+560.01,1.598m,"1,249.423m",
897,19+559.99,2.414m,"1,249.285m",
898,19+560.00,4.474m,"1,249.679m",
899,19+560.01,5.976m,"1,249.686m",
900,19+560.01,5.399m,"1,249.861m",
901,19+559.93,7.477m,"1,249.660m",
902,19+559.90,10.254m,"1,249.743m",
903,19+559.93,12.757m,"1,249.959m",
904,19+560.09,14.856m,"1,251.044m",
905,19+539.95,-14.975m,"1,246.391m",
906,19+539.89,-8.860m,"1,248.676m",
907,19+540.02,-6.415m,"1,248.919m",
908,19+540.00,-3.954m,"1,249.002m",
909,19+540.02,-3.800m,"1,249.019m",
910,19+539.99,-2.746m,"1,249.022m",
911,19+540.00,-2.576m,"1,249.023m",
912,19+540.01,-1.732m,"1,249.026m",
913,19+539.95,0.016m,"1,249.031m",
914,19+540.00,1.428m,"1,248.977m",
915,19+540.00,2.001m,"1,248.950m",
916,19+539.98,2.277m,"1,248.935m",
917,19+540.01,4.797m,"1,249.170m",
918,19+540.00,6.192m,"1,249.109m",
919,19+539.97,6.895m,"1,249.077m",
920,19+540.02,7.731m,"1,249.126m",
921,19+540.00,8.729m,"1,249.164m",
922,19+540.01,9.753m,"1,249.212m",
923,19+539.96,13.671m,"1,250.802m",
924,19+540.00,14.994m,"1,251.387m",
925,19+519.99,-14.991m,"1,245.704m",
926,19+520.00,-12.629m,"1,245.929m",
927,19+520.01,-13.759m,"1,245.825m",
928,19+520.00,-11.758m,"1,246.229m",
929,19+519.93,-11.239m,"1,246.724m",
930,19+520.00,-10.782m,"1,247.168m",
931,19+520.00,-10.284m,"1,247.685m",
932,19+519.98,-9.837m,"1,248.158m",
