Station Offset to Points Report,,,,
,,,,
Client:,Prepared by:,,,
Client,Preparer,,,
Client Company,Your Company Name,,,
Address 1,123 Main Street,,,
Date: 7/20/2024 9:09:04 AM,,,,
,,,,
,,,,
Alignment Name: mojtame kashi,,,,
Description:,,,,
"Station Range: Start: -0+194.22, End: 0+376.89",,,,
,,,,
Point,Station,Offset,Elevation,Description
390,0+159.79,4.655m,"1,581.783m",
391,0+159.85,6.001m,"1,581.795m",
392,0+159.91,7.709m,"1,581.808m",
393,0+159.88,9.543m,"1,581.797m",
394,0+159.89,11.615m,"1,581.799m",
395,0+159.91,14.029m,"1,581.778m",
396,0+160.00,17.104m,"1,581.805m",
397,0+160.05,20.027m,"1,581.788m",
398,0+180.06,-19.948m,"1,581.557m",
399,0+180.05,-17.951m,"1,581.634m",
400,0+179.96,-14.671m,"1,581.648m",
401,0+179.93,-13.157m,"1,581.645m",
402,0+179.94,-11.097m,"1,581.664m",
403,0+179.88,-9.121m,"1,581.633m",
404,0+179.76,-6.809m,"1,581.637m",
405,0+179.90,-5.210m,"1,581.627m",
406,0+179.90,-2.308m,"1,581.637m",
407,0+180.00,0.011m,"1,581.629m",
408,0+179.95,1.571m,"1,581.627m",
409,0+179.97,3.016m,"1,581.640m",
410,0+180.06,4.006m,"1,581.633m",
411,0+179.97,6.283m,"1,581.609m",
412,0+179.98,7.819m,"1,581.608m",
413,0+179.95,9.603m,"1,581.624m",
414,0+179.88,10.318m,"1,581.618m",
415,0+180.10,11.439m,"1,581.626m",
416,0+180.08,12.701m,"1,581.622m",
417,0+179.98,13.534m,"1,581.611m",
418,0+180.03,14.846m,"1,581.627m",
419,0+180.06,15.772m,"1,581.619m",
420,0+179.96,16.384m,"1,581.639m",
421,0+179.90,17.723m,"1,581.636m",
422,0+180.02,19.941m,"1,581.641m",
423,0+199.89,-19.926m,"1,581.456m",
424,0+199.99,-17.841m,"1,581.466m",
425,0+200.00,-16.054m,"1,581.462m",
426,0+199.93,-13.888m,"1,581.465m",
427,0+200.23,-11.371m,"1,581.475m",
428,0+199.78,-8.942m,"1,581.506m",
429,0+199.96,-6.194m,"1,581.489m",
430,0+199.86,-2.886m,"1,581.502m",
431,0+199.99,-1.435m,"1,581.486m",
432,0+199.99,0.005m,"1,581.476m",
433,0+200.03,0.978m,"1,581.478m",
434,0+199.97,2.002m,"1,581.486m",
435,0+200.01,3.795m,"1,581.488m",
436,0+200.05,6.028m,"1,581.508m",
437,0+199.93,7.462m,"1,581.476m",
438,0+199.97,9.441m,"1,581.480m",
439,0+200.01,11.484m,"1,581.490m",
440,0+200.06,13.372m,"1,581.483m",
441,0+200.04,15.481m,"1,581.504m",
442,0+200.02,17.173m,"1,581.531m",
443,0+200.03,18.774m,"1,581.833m",
444,0+200.08,19.946m,"1,581.541m",
445,0+220.03,-19.958m,"1,581.327m",
446,0+220.12,-17.855m,"1,581.316m",
447,0+219.87,-15.292m,"1,581.322m",
448,0+220.02,-12.578m,"1,581.317m",
449,0+219.96,-10.287m,"1,581.322m",
450,0+220.00,-6.943m,"1,581.322m",
451,0+220.05,-3.810m,"1,581.365m",
452,0+220.05,-1.750m,"1,581.339m",
453,0+220.02,-0.026m,"1,581.324m",
454,0+219.94,1.542m,"1,581.337m",
455,0+220.07,3.209m,"1,581.338m",
456,0+220.05,4.602m,"1,581.351m",
457,0+219.85,6.787m,"1,581.352m",
458,0+219.92,8.519m,"1,581.339m",
459,0+219.99,10.615m,"1,581.343m",
460,0+219.95,11.474m,"1,581.261m",
461,0+219.94,12.190m,"1,581.277m",
462,0+219.97,12.854m,"1,581.288m",
463,0+219.96,13.375m,"1,581.293m",
464,0+220.14,14.703m,"1,581.261m",
465,0+220.08,15.849m,"1,581.326m",
466,0+220.04,16.681m,"1,581.322m",
467,0+219.95,17.319m,"1,581.326m",
468,0+219.95,18.920m,"1,581.296m",
469,0+219.93,19.987m,"1,581.291m",
470,0+240.02,-19.944m,"1,581.193m",
471,0+240.06,-18.554m,"1,581.179m",
472,0+240.02,-17.413m,"1,581.204m",
473,0+239.99,-16.139m,"1,581.243m",
474,0+239.96,-13.128m,"1,581.205m",
475,0+240.06,-10.877m,"1,581.173m",
476,0+239.90,-9.588m,"1,581.171m",
477,0+239.85,-7.206m,"1,581.211m",
478,0+240.10,-6.626m,"1,581.271m",
479,0+239.99,-5.683m,"1,581.150m",
480,0+240.09,-4.889m,"1,581.151m",
481,0+239.91,-3.484m,"1,581.146m",
482,0+239.99,-2.242m,"1,581.174m",
483,0+239.93,-0.737m,"1,581.167m",
484,0+239.99,0.001m,"1,581.179m",
485,0+239.98,0.706m,"1,581.170m",
486,0+239.99,1.480m,"1,581.162m",
487,0+239.98,2.004m,"1,581.198m",
488,0+239.99,3.986m,"1,581.229m",
489,0+240.01,5.292m,"1,581.173m",
490,0+239.98,6.025m,"1,581.127m",
491,0+239.99,6.799m,"1,581.150m",
492,0+239.99,7.645m,"1,581.135m",
493,0+239.96,8.378m,"1,581.178m",
494,0+240.03,8.798m,"1,581.183m",
495,0+240.03,10.047m,"1,581.149m",
496,0+239.87,12.090m,"1,581.150m",
497,0+239.96,14.550m,"1,581.143m",
498,0+239.96,15.956m,"1,581.140m",
499,0+239.93,17.935m,"1,581.157m",
500,0+239.95,19.965m,"1,581.146m",
501,0+259.90,-19.898m,"1,581.214m",
502,0+260.07,-16.931m,"1,581.199m",
503,0+259.89,-14.073m,"1,581.142m",
504,0+260.19,-11.906m,"1,581.125m",
505,0+260.05,-9.903m,"1,581.110m",
506,0+259.99,-5.708m,"1,581.088m",
507,0+260.22,-3.248m,"1,581.038m",
508,0+259.94,-1.379m,"1,581.051m",
509,0+260.01,-0.017m,"1,581.019m",
510,0+260.00,0.780m,"1,581.041m",
511,0+259.93,1.996m,"1,581.067m",
512,0+259.95,2.794m,"1,581.005m",
513,0+259.87,3.785m,"1,581.021m",
514,0+259.98,5.131m,"1,580.959m",
515,0+259.94,5.397m,"1,580.961m",
516,0+260.02,5.881m,"1,581.004m",
517,0+259.99,6.010m,"1,581.027m",
518,0+259.98,6.268m,"1,581.015m",
519,0+260.00,6.799m,"1,581.004m",
520,0+259.96,7.976m,"1,581.014m",
521,0+260.03,9.434m,"1,581.011m",
522,0+259.99,11.438m,"1,581.015m",
523,0+260.07,12.428m,"1,581.019m",
524,0+260.02,14.459m,"1,580.992m",
525,0+259.85,15.941m,"1,581.008m",
526,0+260.02,17.791m,"1,580.998m",
527,0+260.04,18.780m,"1,580.992m",
528,0+260.01,20.069m,"1,580.986m",
529,0+279.95,-19.940m,"1,580.991m",
530,0+280.12,-17.106m,"1,580.974m",
531,0+279.96,-14.435m,"1,580.880m",
532,0+279.63,-12.059m,"1,580.822m",
533,0+280.09,-10.079m,"1,580.786m",
534,0+279.92,-7.488m,"1,581.076m",
535,0+280.12,-6.310m,"1,580.984m",
536,0+279.84,-3.373m,"1,581.022m",
537,0+280.04,-1.260m,"1,580.968m",
538,0+279.99,0.003m,"1,580.965m",
539,0+280.01,1.453m,"1,580.963m",
540,0+280.03,3.242m,"1,580.934m",
541,0+280.01,4.748m,"1,580.901m",
542,0+279.99,6.110m,"1,580.869m",
543,0+280.04,7.126m,"1,580.863m",
544,0+280.01,8.286m,"1,580.839m",
545,0+280.01,8.770m,"1,580.818m",
546,0+280.00,9.592m,"1,580.825m",
547,0+279.97,10.486m,"1,580.848m",
548,0+280.07,12.097m,"1,580.833m",
549,0+279.90,13.254m,"1,580.841m",
550,0+280.04,14.726m,"1,580.855m",
551,0+279.97,16.261m,"1,580.869m",
552,0+279.90,17.498m,"1,580.893m",
553,0+280.00,18.722m,"1,580.861m",
554,0+279.91,19.919m,"1,580.854m",
555,0+299.97,-19.958m,"1,580.814m",
556,0+299.95,-19.286m,"1,581.138m",
557,0+300.01,-18.525m,"1,581.452m",
558,0+299.99,-18.341m,"1,581.470m",
559,0+300.01,-17.885m,"1,581.259m",
560,0+300.06,-17.498m,"1,581.037m",
561,0+299.99,-16.927m,"1,580.669m",
562,0+299.95,-16.439m,"1,580.575m",
563,0+299.97,-15.647m,"1,580.544m",
564,0+300.02,-14.670m,"1,580.524m",
565,0+300.02,-13.795m,"1,580.503m",
566,0+299.99,-12.730m,"1,580.533m",
567,0+299.98,-11.475m,"1,580.569m",
568,0+300.01,-10.104m,"1,580.639m",
569,0+300.10,-8.947m,"1,580.697m",
570,0+299.97,-7.434m,"1,580.724m",
571,0+300.04,-6.130m,"1,580.660m",
572,0+299.97,-4.322m,"1,580.675m",
573,0+300.04,-3.228m,"1,581.048m",
574,0+300.08,-2.051m,"1,580.866m",
575,0+299.94,-0.748m,"1,580.931m",
576,0+300.00,-0.009m,"1,581.029m",
577,0+300.04,1.096m,"1,580.829m",
578,0+299.97,1.747m,"1,580.775m",
579,0+300.07,2.906m,"1,580.737m",
580,0+299.96,3.504m,"1,580.730m",
581,0+300.03,4.259m,"1,580.768m",
582,0+299.95,5.261m,"1,580.763m",
583,0+300.03,6.381m,"1,580.880m",
584,0+299.97,7.461m,"1,580.851m",
585,0+300.07,9.141m,"1,580.721m",
586,0+299.93,11.340m,"1,580.665m",
587,0+299.89,13.484m,"1,580.684m",
588,0+300.09,15.483m,"1,580.704m",
589,0+299.97,17.059m,"1,580.716m",
590,0+299.94,18.888m,"1,580.717m",
591,0+299.93,19.940m,"1,580.705m",
592,0+319.87,-19.804m,"1,580.830m",
593,0+320.29,-17.118m,"1,580.735m",
594,0+320.14,-13.790m,"1,580.741m",
595,0+319.87,-9.581m,"1,581.098m",
596,0+319.78,-6.728m,"1,581.113m",
597,0+319.94,-4.180m,"1,580.547m",
598,0+320.09,-1.971m,"1,580.253m",
599,0+319.94,-0.003m,"1,580.375m",
600,0+320.03,2.341m,"1,580.524m",
601,0+319.98,5.126m,"1,580.571m",
602,0+319.93,7.062m,"1,580.513m",
603,0+320.09,8.591m,"1,580.558m",
604,0+320.21,10.358m,"1,580.529m",
605,0+319.79,12.359m,"1,580.573m",
606,0+319.88,13.854m,"1,580.595m",
607,0+320.28,16.098m,"1,580.551m",
608,0+319.95,19.424m,"1,580.559m",
609,0+339.99,-19.797m,"1,580.384m",
610,0+340.01,-18.507m,"1,580.411m",
611,0+340.17,-16.637m,"1,580.429m",
612,0+339.88,-13.209m,"1,580.547m",
613,0+339.93,-11.307m,"1,580.515m",
614,0+339.91,-8.420m,"1,580.380m",
615,0+339.93,-5.941m,"1,580.551m",
616,0+339.64,-3.361m,"1,580.640m",
617,0+340.05,-0.004m,"1,580.221m",
618,0+340.03,1.722m,"1,580.290m",
