player_id,arrived_time,departed_time,wait_time
383,366,1445,36
410,396,1445,30
634,592,1445,21
652,605,1445,28
655,608,1445,28
190,173,1445,26
693,648,1445,20
483,462,1445,17
725,675,1445,14
1061,962,1445,18
1305,1195,1445,10
816,761,1445,37
609,574,1445,36
1006,917,1445,17
902,822,1445,17
1166,1058,1445,9
895,817,1445,27
467,449,1445,23
782,732,1445,5
1363,1230,1445,13
1299,1187,1445,2
1001,912,1445,47
901,821,1445,45
1260,1145,1445,20
1274,1158,1445,18
1155,1048,1445,0
1429,1296,1445,0
587,554,1445,31
594,561,1445,29
741,696,1445,21
585,552,1445,32
1050,951,1445,10
728,677,1455,37
1128,1024,1455,17
985,900,1465,4
294,287,1465,37
423,409,1465,32
1015,923,1465,19
1347,1219,1465,0
670,627,1465,30
833,772,1465,30
899,819,1465,21
955,869,1465,2
1028,931,1470,18
1407,1276,1475,0
632,592,1485,10
539,518,1490,45
770,716,1490,15
795,746,1490,9
532,507,1490,28
972,888,1490,13
1320,1204,1490,18
1114,1015,1490,5
1099,1000,1490,18
855,784,1490,43
1470,1333,1490,12
850,780,1490,55
1036,936,1490,43
1167,1058,1490,19
380,364,1490,60
527,504,1490,42
845,776,1490,36
1471,1334,1490,12
526,503,1490,80
567,538,1490,34
839,774,1490,56
1453,1315,1490,15
756,707,1490,29
773,720,1495,15
149,140,1495,41
915,835,1495,44
913,834,1495,16
599,567,1500,37
991,906,1500,19
1007,917,1500,17
577,545,1500,55
1271,1151,1500,2
443,425,1500,69
473,456,1500,63
1248,1135,1505,15
1441,1308,1505,0
979,891,1520,27
677,634,1520,30
114,102,1535,78
744,697,1535,28
754,706,1535,6
735,692,1535,29
826,765,1535,24
379,362,1535,56
1076,975,1535,42
971,887,1535,40
890,810,1535,35
335,324,1535,55
958,871,1535,13
905,825,1535,33
920,840,1535,30
1552,1401,1535,7
740,695,1535,49
772,719,1535,45
893,813,1535,46
1142,1031,1535,21
1450,1313,1535,5
1439,1308,1535,6
940,858,1535,38
944,859,1535,38
959,872,1535,35
445,426,1535,45
1451,1314,1535,15
1364,1230,1535,11
1265,1146,1535,19
1195,1082,1535,41
998,911,1535,46
1146,1036,1535,31
1484,1342,1540,0
1321,1204,1540,9
246,233,1540,36
1281,1167,1540,16
814,758,1550,19
922,844,1550,2
402,385,1550,64
494,471,1550,47
709,662,1550,38
1117,1017,1550,17
1285,1173,1555,7
864,792,1555,25
1243,1133,1560,16
503,482,1580,20
523,501,1580,36
1127,1023,1580,2
1141,1031,1580,31
1207,1086,1580,20
1191,1077,1580,21
765,714,1580,35
625,588,1580,41
493,471,1580,34
1120,1019,1580,33
1215,1098,1580,17
667,624,1580,23
1135,1028,1580,12
724,675,1580,43
623,586,1580,20
664,622,1580,45
1341,1214,1580,5
683,639,1580,59
800,749,1580,37
857,788,1580,20
862,790,1580,19
977,891,1580,40
997,911,1580,26
515,490,1580,31
434,421,1580,55
510,487,1580,52
904,824,1580,24
479,460,1580,48
640,596,1580,31
540,519,1580,54
612,579,1580,42
1385,1250,1580,26
1273,1158,1580,26
576,545,1580,60
610,574,1580,55
950,863,1580,37
831,770,1580,15
1062,963,1580,44
1092,991,1580,38
974,890,1580,39
1096,994,1580,10
892,813,1580,36
1418,1291,1590,0
1077,977,1590,15
626,589,1590,33
1115,1016,1590,6
1071,969,1595,27
435,421,1595,28
994,907,1600,29
1022,928,1600,25
1208,1087,1600,14
565,538,1605,26
1163,1055,1605,20
1566,1412,1610,0
1234,1119,1625,22
557,531,1625,39
608,574,1625,31
1290,1180,1625,9
1302,1191,1625,7
1124,1021,1625,31
397,383,1625,40
781,730,1625,30
