Note,Latitude,Longitude,Ell.Height (m)
369,32.4238273,55.319359,1141.128
370,32.42365842,55.31928771,1141.259
371,32.42348941,55.31921654,1141.54
372,32.4233198,55.31914517,1141.667
373,32.42314856,55.31907331,1141.788
374,32.42298063,55.31900264,1141.928
375,32.42281123,55.3189315,1141.967
376,32.42264088,55.31886011,1141.978
377,32.422539,55.31878862,1142.165
378,32.42264724,55.31860972,1141.958
379,32.42275513,55.31849973,1142.035
380,32.42292929,55.31855931,1141.722
381,32.42310687,55.31863235,1141.362
382,32.42327712,55.31870377,1141.446
383,32.42344561,55.31877492,1141.444
384,32.42361385,55.31884602,1141.439
385,32.42378276,55.31891765,1141.49
386,32.42395173,55.31898893,1141.542
387,32.42412327,55.31906154,1141.63
388,32.42429211,55.31913261,1141.657
389,32.42446092,55.31920379,1141.658
390,32.42460998,55.31923322,1141.83
391,32.42473178,55.31907869,1141.44
392,32.42479947,55.31894131,1141.513
394,32.42445465,55.31877833,1141.504
395,32.42428649,55.31870668,1141.656
396,32.424115,55.31863505,1141.791
397,32.42394632,55.3185639,1141.913
398,32.42377727,55.31849271,1142.076
399,32.42360548,55.31842042,1142.197
400,32.42343714,55.31834945,1142.312
401,32.42326836,55.31827865,1142.379
402,32.42310078,55.31820794,1142.614
403,32.42300147,55.31813622,1142.999
404,32.42310825,55.31796056,1142.786
405,32.42321786,55.31784852,1143.143
406,32.42339068,55.3179056,1142.886
407,32.42356759,55.3179783,1142.503
408,32.42373954,55.31805001,1142.539
409,32.42390771,55.31812101,1142.537
410,32.42407808,55.31819253,1142.406
411,32.42424707,55.31826345,1142.318
412,32.4244152,55.31833446,1142.3
413,32.424583,55.31840474,1142.121
414,32.42475201,55.31847565,1142.17
415,32.42492286,55.31854813,1142.193
416,32.42506243,55.31857448,1142.374
417,32.42518598,55.31841768,1142.367
418,32.42525343,55.31828127,1142.535
419,32.42508321,55.31819446,1142.42
