run_id,scenario_type,scenario_param,T,L,C,p,h,w,s,demand_volatility,optimal_cost,collection_cost,holding_cost,shortage_cost,waste_cost,total_collected,total_shortage,total_waste,total_demand,service_level,shortage_frequency,avg_inventory
79,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,80.40205094348258,144722.0,7980.0,142.0,136600.0,0.0,399.0,683.0,0.0,1082.0,0.3687615526802218,0.5714285714285714,5.071428571428571
80,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,87.28071648071958,151946.0,8000.0,146.0,143800.0,0.0,400.0,719.0,0.0,1119.0,0.3574620196604111,0.5,5.214285714285714
81,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,87.33553055864023,151942.0,8000.0,142.0,143800.0,0.0,400.0,719.0,0.0,1119.0,0.3574620196604111,0.5714285714285714,5.071428571428571
82,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,85.06675050109958,146526.0,7980.0,146.0,138400.0,0.0,399.0,692.0,0.0,1091.0,0.36571952337305225,0.5714285714285714,5.214285714285714
83,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,91.32259483025332,150374.0,8020.0,154.0,142200.0,0.0,401.0,711.0,0.0,1112.0,0.3606115107913669,0.5714285714285714,5.5
84,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,87.23940787118104,152344.0,7980.0,164.0,144200.0,0.0,399.0,721.0,0.0,1120.0,0.35625,0.5,5.857142857142857
85,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,88.3546887290548,149152.0,7980.0,172.0,141000.0,0.0,399.0,705.0,0.0,1104.0,0.36141304347826086,0.5714285714285714,6.142857142857143
86,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,90.00172900833516,151554.0,8000.0,154.0,143400.0,0.0,400.0,717.0,0.0,1117.0,0.35810205908683973,0.5,5.5
87,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,86.6913361017238,145346.0,8000.0,146.0,137200.0,0.0,400.0,686.0,0.0,1086.0,0.3683241252302026,0.5714285714285714,5.214285714285714
88,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,84.89825843746317,146730.0,7980.0,150.0,138600.0,0.0,399.0,693.0,0.0,1092.0,0.36538461538461536,0.5,5.357142857142857
89,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,84.64861342693122,147936.0,7980.0,156.0,139800.0,0.0,399.0,699.0,0.0,1098.0,0.3633879781420765,0.5,5.571428571428571
90,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,82.7161670153682,142524.0,7980.0,144.0,134400.0,0.0,399.0,672.0,0.0,1071.0,0.37254901960784315,0.5714285714285714,5.142857142857143
91,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,88.04674662834928,147724.0,7980.0,144.0,139600.0,0.0,399.0,698.0,0.0,1097.0,0.3637192342752963,0.5,5.142857142857143
