NUtime_s,vehicle_id,node,finished,travel_time_s
48.0,2,2,False,49.0
48.0,3,3,False,49.0
48.0,4,4,False,49.0
48.0,5,5,False,49.0
48.0,6,6,False,49.0
48.0,7,7,False,49.0
48.0,8,8,False,49.0
48.0,9,9,False,49.0
48.0,10,10,False,49.0
49.0,1,10,False,50.0
49.0,2,2,False,50.0
49.0,3,3,False,50.0
49.0,4,4,False,50.0
49.0,5,5,False,50.0
49.0,6,6,False,50.0
49.0,7,7,False,50.0
49.0,8,8,False,50.0
49.0,9,9,False,50.0
49.0,10,10,False,50.0
50.0,1,10,False,51.0
50.0,2,2,False,51.0
50.0,3,3,False,51.0
50.0,4,4,False,51.0
50.0,5,5,False,51.0
50.0,6,6,False,51.0
50.0,7,7,False,51.0
50.0,8,8,False,51.0
50.0,9,9,False,51.0
50.0,10,10,False,51.0
51.0,1,10,False,52.0
51.0,2,2,False,52.0
51.0,3,3,False,52.0
51.0,4,4,False,52.0
51.0,5,5,False,52.0
51.0,6,6,False,52.0
51.0,7,7,False,52.0
51.0,8,8,False,52.0
51.0,9,9,False,52.0
51.0,10,10,False,52.0
52.0,1,10,False,53.0
52.0,2,2,False,53.0
52.0,3,3,False,53.0
52.0,4,4,False,53.0
52.0,5,5,False,53.0
52.0,6,6,False,53.0
52.0,7,7,False,53.0
52.0,8,8,False,53.0
52.0,9,9,False,53.0
52.0,10,10,False,53.0
53.0,1,10,False,54.0
53.0,2,2,False,54.0
53.0,3,3,False,54.0
53.0,4,4,False,54.0
53.0,5,5,False,54.0
53.0,6,6,False,54.0
53.0,7,7,False,54.0
53.0,8,8,False,54.0
53.0,9,9,False,54.0
53.0,10,10,False,54.0
54.0,1,10,False,55.0
54.0,2,2,False,55.0
54.0,3,3,False,55.0
54.0,4,4,False,55.0
54.0,5,5,False,55.0
54.0,6,6,False,55.0
54.0,7,7,False,55.0
54.0,8,8,False,55.0
54.0,9,9,False,55.0
54.0,10,10,False,55.0
55.0,1,10,False,56.0
55.0,2,2,False,56.0
55.0,3,3,False,56.0
55.0,4,4,False,56.0
55.0,5,5,False,56.0
55.0,6,6,False,56.0
55.0,7,7,False,56.0
55.0,8,8,False,56.0
55.0,9,9,False,56.0
