
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-03-04


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 6.24
Magnitude Max:, 7.68
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
43, SRSS, 78, -, 1.0, -, 10.0, 18.9, 0.3, "San Fernando", 1971, "Palmdale Fire Station", 6.61, Reverse, 24.16, 28.99, 452.86, 0.1875, 1.0, RSN78_SFERN_PDL120.AT2, RSN78_SFERN_PDL210.AT2 ,  -----   
44, SRSS, 79, -, 1.0, -, 6.7, 14.5, 0.2, "San Fernando", 1971, "Pasadena - CIT Athenaeum", 6.61, Reverse, 25.47, 25.47, 415.13, 0.375, 1.0, RSN79_SFERN_PAS000.AT2, RSN79_SFERN_PAS090.AT2 , RSN79_SFERN_PASDWN.AT2  
45, SRSS, 80, -, 1.0, -, 5.7, 14.1, 0.3, "San Fernando", 1971, "Pasadena - Old Seismo Lab", 6.61, Reverse, 21.5, 21.5, 969.07, 0.625, 1.0, RSN80_SFERN_PSL180.AT2, RSN80_SFERN_PSL270.AT2 , RSN80_SFERN_PSLDWN.AT2  
46, SRSS, 81, -, 1.0, -, 7.1, 13.7, 0.2, "San Fernando", 1971, "Pearblossom Pump", 6.61, Reverse, 35.54, 38.97, 529.09, 0.25, 1.0, RSN81_SFERN_PPP000.AT2, RSN81_SFERN_PPP270.AT2 , RSN81_SFERN_PPPDWN.AT2  
47, SRSS, 82, -, 1.0, -, 38.5, 49.2, 0.0, "San Fernando", 1971, "Port Hueneme", 6.61, Reverse, 68.84, 68.84, 248.98, 0.0625, 1.0, RSN82_SFERN_PHN180.AT2, RSN82_SFERN_PHN270.AT2 , RSN82_SFERN_PHN-UP.AT2  
48, SRSS, 83, -, 1.0, -, 6.4, 14.3, 0.0, "San Fernando", 1971, "Puddingstone Dam (Abutment)", 6.61, Reverse, 52.64, 52.64, 421.44, 0.25, 1.0, RSN83_SFERN_PUD055.AT2, RSN83_SFERN_PUD325.AT2 , RSN83_SFERN_PUDDWN.AT2  
49, SRSS, 84, -, 1.0, -, 15.3, 24.2, 0.0, "San Fernando", 1971, "San Diego Gas & Electric", 6.61, Reverse, 205.77, 205.77, 354.06, 0.125, 1.0, RSN84_SFERN_SDC000.AT2, RSN84_SFERN_SDC090.AT2 , RSN84_SFERN_SDCDWN.AT2  
50, SRSS, 85, -, 1.0, -, 17.5, 48.2, 0.0, "San Fernando", 1971, "San Juan Capistrano", 6.61, Reverse, 108.01, 108.01, 459.37, 0.25, 1.0, RSN85_SFERN_SJC033.AT2, RSN85_SFERN_SJC303.AT2 , RSN85_SFERN_SJCDWN.AT2  
51, SRSS, 86, -, 1.0, -, 15.8, 35.5, 0.0, "San Fernando", 1971, "San Onofre - So Cal Edison", 6.61, Reverse, 124.79, 124.79, 442.88, 0.25, 1.0, RSN86_SFERN_SON033.AT2, RSN86_SFERN_SON303.AT2 , RSN86_SFERN_SONDWN.AT2  
52, SRSS, 87, -, 1.0, -, 6.4, 11.3, 0.3, "San Fernando", 1971, "Santa Anita Dam", 6.61, Reverse, 30.7, 30.7, 667.13, 0.375, 1.0, RSN87_SFERN_SAD003.AT2, RSN87_SFERN_SAD273.AT2 , RSN87_SFERN_SADDWN.AT2  
53, SRSS, 88, -, 1.0, -, 7.4, 23.6, 0.2, "San Fernando", 1971, "Santa Felita Dam (Outlet)", 6.61, Reverse, 24.69, 24.87, 389.0, 0.125, 1.0, RSN88_SFERN_FSD172.AT2, RSN88_SFERN_FSD262.AT2 , RSN88_SFERN_FSD-UP.AT2  
54, SRSS, 89, -, 1.0, -, 3.7, 9.5, 0.0, "San Fernando", 1971, "Tehachapi Pump", 6.61, Reverse, 61.75, 63.79, 669.48, 0.25, 1.0, RSN89_SFERN_TEH090.AT2, RSN89_SFERN_TEH180.AT2 , RSN89_SFERN_TEHDWN.AT2  
55, SRSS, 90, -, 1.0, -, 28.5, 49.3, 0.0, "San Fernando", 1971, "UCSB - Fluid Mech Lab", 6.61, Reverse, 124.38, 124.41, 322.42, 0.25, 1.0, RSN90_SFERN_SBF042.AT2, RSN90_SFERN_SBF132.AT2 , RSN90_SFERN_SBF-UP.AT2  
56, SRSS, 91, -, 1.0, -, 7.1, 14.3, 0.1, "San Fernando", 1971, "Upland - San Antonio Dam", 6.61, Reverse, 61.72, 61.73, 487.23, 0.375, 1.0, RSN91_SFERN_SOD015.AT2, RSN91_SFERN_SOD285.AT2 , RSN91_SFERN_SODDWN.AT2  
57, SRSS, 92, -, 1.0, -, 7.2, 17.9, 0.0, "San Fernando", 1971, "Wheeler Ridge - Ground", 6.61, Reverse, 68.38, 70.23, 347.67, 0.125, 1.0, RSN92_SFERN_WRP090.AT2, RSN92_SFERN_WRP180.AT2 , RSN92_SFERN_WRP-UP.AT2  
58, SRSS, 93, -, 1.0, -, 7.2, 21.5, 0.2, "San Fernando", 1971, "Whittier Narrows Dam", 6.61, Reverse, 39.45, 39.45, 298.68, 0.125, 1.0, RSN93_SFERN_WND143.AT2, RSN93_SFERN_WND233.AT2 , RSN93_SFERN_WNDDWN.AT2  
59, SRSS, 94, -, 1.0, -, 7.3, 11.7, 0.0, "San Fernando", 1971, "Wrightwood - 6074 Park Dr", 6.61, Reverse, 61.64, 62.23, 486.0, 0.25, 1.0, RSN94_SFERN_WTW025.AT2, RSN94_SFERN_WTW295.AT2 , RSN94_SFERN_WTWDWN.AT2  
60, SRSS, 95, -, 1.0, -, 4.9, 10.6, 2.0, "Managua_ Nicaragua-01", 1972, "Managua_ ESSO", 6.24, strike slip, 3.51, 4.06, 288.77, 0.375, 1.0, RSN95_MANAGUA_A-ESO090.AT2, RSN95_MANAGUA_A-ESO180.AT2 , RSN95_MANAGUA_A-ESODWN.AT2  
61, SRSS, 121, -, 1.0, -, 4.3, 10.4, 0.0, "Friuli_ Italy-01", 1976, "Barcis", 6.5, Reverse, 49.13, 49.38, 496.46, 0.15, 1.0, RSN121_FRIULI.A_A-BCS000.AT2, RSN121_FRIULI.A_A-BCS270.AT2 , RSN121_FRIULI.A_A-BCS-UP.AT2  
62, SRSS, 122, -, 1.0, -, 10.5, 19.0, 0.1, "Friuli_ Italy-01", 1976, "Codroipo", 6.5, Reverse, 33.32, 33.4, 249.28, 0.125, 1.0, RSN122_FRIULI.A_A-COD000.AT2, RSN122_FRIULI.A_A-COD270.AT2 , RSN122_FRIULI.A_A-COD-UP.AT2  
63, SRSS, 123, -, 1.0, -, 8.4, 19.1, 0.1, "Friuli_ Italy-01", 1976, "Conegliano", 6.5, Reverse, 80.37, 80.41, 352.05, 0.5, 1.0, RSN123_FRIULI.A_A-CLV000.AT2, RSN123_FRIULI.A_A-CLV270.AT2 , RSN123_FRIULI.A_A-CLV-UP.AT2  
64, SRSS, 124, -, 1.0, -, 5.0, 12.7, 0.0, "Friuli_ Italy-01", 1976, "Feltre", 6.5, Reverse, 102.05, 102.15, 356.39, 1.125, 1.0, RSN124_FRIULI.A_A-FLT000.AT2, RSN124_FRIULI.A_A-FLT270.AT2 , RSN124_FRIULI.A_A-FLT-UP.AT2  
65, SRSS, 125, -, 1.0, -, 2.5, 4.9, 1.2, "Friuli_ Italy-01", 1976, "Tolmezzo", 6.5, Reverse, 14.97, 15.82, 505.23, 0.1625, 1.0, RSN125_FRIULI.A_A-TMZ000.AT2, RSN125_FRIULI.A_A-TMZ270.AT2 , RSN125_FRIULI.A_A-TMZ-UP.AT2  
66, SRSS, 126, -, 1.0, -, 5.6, 7.0, 5.7, "Gazli_ USSR", 1976, "Karakyr", 6.8, Reverse, 3.92, 5.46, 259.59, 0.25, 1.0, RSN126_GAZLI_GAZ000.AT2, RSN126_GAZLI_GAZ090.AT2 , RSN126_GAZLI_GAZ-UP.AT2  
67, SRSS, 137, -, 1.0, -, 21.3, 25.9, 0.1, "Tabas_ Iran", 1978, "Bajestan", 7.35, Reverse, 119.77, 120.81, 377.56, 0.15625, 1.0, RSN137_TABAS_BAJ-L1.AT2, RSN137_TABAS_BAJ-T1.AT2 , RSN137_TABAS_BAJ-V1.AT2  
68, SRSS, 138, -, 1.0, -, 14.6, 19.5, 0.3, "Tabas_ Iran", 1978, "Boshrooyeh", 7.35, Reverse, 24.07, 28.79, 324.57, 0.15625, 1.0, RSN138_TABAS_BOS-L1.AT2, RSN138_TABAS_BOS-T1.AT2 , RSN138_TABAS_BOS-V1.AT2  
69, SRSS, 139, -, 1.0, -, 6.7, 11.3, 1.4, "Tabas_ Iran", 1978, "Dayhook", 7.35, Reverse, 0.0, 13.94, 471.53, 0.25, 1.0, RSN139_TABAS_DAY-L1.AT2, RSN139_TABAS_DAY-T1.AT2 , RSN139_TABAS_DAY-V1.AT2  
70, SRSS, 140, -, 1.0, -, 20.5, 24.2, 0.2, "Tabas_ Iran", 1978, "Ferdows", 7.35, Reverse, 89.76, 91.14, 302.64, 0.15625, 1.0, RSN140_TABAS_FER-L1.AT2, RSN140_TABAS_FER-T1.AT2 , RSN140_TABAS_FER-V1.AT2  
71, SRSS, 141, -, 1.0, -, 16.8, 26.4, 0.1, "Tabas_ Iran", 1978, "Kashmar", 7.35, Reverse, 193.91, 194.55, 280.26, 0.15625, 1.0, RSN141_TABAS_KSH-L1.AT2, RSN141_TABAS_KSH-T1.AT2 , RSN141_TABAS_KSH-V1.AT2  
