
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-03-04


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 6.24
Magnitude Max:, 7.68
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1.7,0.1469564,0.48437545,0.04458563,0.25695266,0.02540952,0.02675947,0.05733684,0.07008522,0.08689004,0.21565658,0.18024598,0.43327939,0.08425428,0.22877492,0.03131624,0.02152372,0.02689334,0.03041743,0.03643543,0.00758861,0.01254426,0.00926294,0.01386469,0.02444075,0.11048611,0.01118211,0.01088468,0.01006039,0.01198664,0.01042379,0.04247818,0.0083085,0.09469466,0.01661572,0.00788141,0.12112212,0.03974607,0.13241752,0.06078471,0.04990123,0.03989216,0.0172192,0.01150914,0.01135023,0.75585545,0.22128786,0.08480195,0.04001159,0.04055951,0.0617579,0.02110866,0.011351,0.03434607,0.02440006,0.02709725,0.05483958,0.00605978,0.05917276,0.01562299,0.01642068,0.05742694,0.02128139,0.26122103,0.00997106,0.06916089,0.03381944,0.00321138,0.12217263,0.66385124,0.02631905,0.19378718,0.21322793,0.02757405,0.10333364,0.02751529,0.65342711,0.43411177,0.38612099,0.30534554,0.25821962,0.17024793,0.0894374,0.13470103,0.22155322,0.09255629,0.07664524,0.45590444,0.34158005,0.62914098,0.11336526,0.40442296,0.33045302,0.16222523,0.13722151,0.24910749,0.47647308,0.40366719,0.51439062,0.52747852,0.38084755,0.40885959,0.26732217,0.06337157
1.8,0.13852492,0.46080335,0.04164282,0.26544416,0.02235048,0.02201299,0.05899618,0.05282727,0.09077461,0.19667557,0.15234702,0.39370623,0.06774693,0.20888785,0.03487582,0.02158652,0.02494304,0.02968652,0.03133342,0.00605743,0.01389865,0.00784739,0.01575765,0.01835191,0.0983559,0.01114276,0.00970956,0.01148013,0.01196717,0.00931587,0.03848691,0.00830597,0.08307406,0.01693076,0.00747487,0.11045837,0.03968014,0.11490009,0.05542165,0.04230726,0.03805808,0.0169816,0.01200838,0.01481854,0.67547738,0.18721884,0.09052817,0.03714572,0.0337334,0.07221578,0.01767169,0.0096616,0.03376808,0.02354375,0.02489233,0.04892072,0.00684525,0.04860377,0.01332485,0.01504389,0.05339375,0.01793921,0.25280417,0.00940674,0.06904622,0.03370715,0.00273938,0.10499036,0.5895405,0.02861039,0.1877938,0.22043692,0.02428746,0.11664287,0.02310065,0.68951104,0.36141081,0.38678654,0.28273646,0.2415321,0.14455477,0.08680347,0.1248136,0.19543619,0.08767283,0.085559,0.33461677,0.31009615,0.62014244,0.11061986,0.3820528,0.33018007,0.15752549,0.12270217,0.26544229,0.46563117,0.40913887,0.54019462,0.52272447,0.34830662,0.37134058,0.24747707,0.06746305
1.9,0.13230075,0.44854308,0.03902298,0.28271997,0.02160479,0.01958518,0.06542112,0.05534777,0.08512621,0.21147919,0.12688806,0.35065273,0.06052387,0.20256592,0.04234323,0.02560576,0.02138404,0.02626526,0.02891219,0.00528346,0.01621056,0.00865662,0.01586726,0.01636892,0.08839938,0.01107126,0.00943765,0.01247227,0.01117782,0.00866641,0.03391605,0.00810572,0.06967416,0.01518761,0.00823298,0.12144585,0.03972898,0.09981171,0.04973331,0.03645059,0.03407607,0.01551775,0.01257267,0.01777934,0.60119836,0.15570174,0.08891133,0.03426998,0.02571152,0.07447115,0.01861255,0.00863307,0.03161646,0.02213225,0.02229571,0.04879282,0.00708699,0.04378487,0.01184611,0.01388069,0.05905033,0.01566104,0.23401669,0.00957429,0.06622968,0.0306548,0.00241158,0.09600736,0.49404486,0.02987601,0.16813574,0.21895377,0.02725424,0.10640547,0.01715534,0.75205563,0.28667129,0.37033669,0.29470671,0.22654506,0.12342561,0.078816,0.11859307,0.20792396,0.07868892,0.06248319,0.28478796,0.29937057,0.60879561,0.10864219,0.36492793,0.30780958,0.1562613,0.10667651,0.28522753,0.46243895,0.41414422,0.56580934,0.5114019,0.33113596,0.35668176,0.22531917,0.06375189
2.0,0.12522891,0.43297037,0.03622022,0.30142738,0.02144272,0.01816609,0.0583141,0.05761895,0.07865082,0.19718941,0.10753988,0.30627476,0.05466965,0.20022998,0.03957574,0.02505184,0.01990743,0.02507247,0.02416165,0.00471349,0.0174252,0.00823708,0.014342,0.01814399,0.0795053,0.01051052,0.00876038,0.0112785,0.00921469,0.00709328,0.02933401,0.00848577,0.0628428,0.01194913,0.00903534,0.13505963,0.03709985,0.08686666,0.04764434,0.03209519,0.03082832,0.01469713,0.01263804,0.01773593,0.53359557,0.13660653,0.08594791,0.03115549,0.02364989,0.0671331,0.01759189,0.00899842,0.02783335,0.02289815,0.01862606,0.05207408,0.00712765,0.03906301,0.01197484,0.01228538,0.05800471,0.01405222,0.21935976,0.00966714,0.07010547,0.02412108,0.00208652,0.0857014,0.41579978,0.02623823,0.13576808,0.20256667,0.02670354,0.09189361,0.02001342,0.73454435,0.25514243,0.34216691,0.30052982,0.21552108,0.10541303,0.07265389,0.11223225,0.1675109,0.07151216,0.05733478,0.27296894,0.29579852,0.59861065,0.10584694,0.34745527,0.27983799,0.15730327,0.0995473,0.28760401,0.44637417,0.41726149,0.58442753,0.50626734,0.31913155,0.34027759,0.21597447,0.05417036
2.2,0.11203201,0.40594579,0.03091834,0.26269746,0.02305931,0.02137146,0.04050031,0.06235237,0.06570995,0.13406998,0.08184434,0.23340571,0.04152416,0.19385036,0.02339488,0.02214178,0.01931568,0.02089048,0.02534961,0.00403695,0.01718712,0.00607369,0.01129906,0.01424087,0.06451817,0.00915214,0.00694982,0.00854797,0.0086889,0.00681265,0.02271153,0.00861658,0.04948307,0.00809381,0.00756671,0.13462929,0.0370627,0.06649547,0.03976647,0.02659311,0.02593226,0.01310719,0.0091946,0.01543276,0.41494017,0.09159669,0.07784283,0.02409365,0.0234535,0.077737,0.01404587,0.00926542,0.02113744,0.01447728,0.01477608,0.05571247,0.00736773,0.03482772,0.01207771,0.00978419,0.05617761,0.01616847,0.18893861,0.00959276,0.06990367,0.01704803,0.00157008,0.06981825,0.29736842,0.02133156,0.09708226,0.14474125,0.01934184,0.07623886,0.01923012,0.62906109,0.2226263,0.27432017,0.25896136,0.19957153,0.08562553,0.07117477,0.08475978,0.13845213,0.0581285,0.04431599,0.24162332,0.31049745,0.58146898,0.09348972,0.31136755,0.23625123,0.14985511,0.09827288,0.29050195,0.40372085,0.51370818,0.59325807,0.49957923,0.3013829,0.33083589,0.2239691,0.05506325
2.4,0.10132686,0.37785836,0.02717191,0.21781189,0.01661546,0.01868642,0.03327625,0.06754597,0.06439669,0.10535193,0.07300467,0.19473951,0.02865636,0.15548743,0.02207069,0.02494604,0.01892976,0.02243156,0.02757891,0.00337392,0.01382374,0.00566972,0.01179139,0.01434646,0.05267695,0.0062877,0.00632973,0.00822572,0.00783686,0.00735456,0.01782572,0.00813534,0.04278325,0.00639835,0.00613069,0.12384183,0.04221896,0.05172378,0.03321678,0.02282589,0.02075273,0.01145226,0.01045423,0.01292475,0.32173151,0.0651099,0.06481854,0.01798922,0.02295572,0.07826099,0.012942,0.0067582,0.0218937,0.01293088,0.01519051,0.0579852,0.00643109,0.03243878,0.00965906,0.01275586,0.05792405,0.01537946,0.16064449,0.00959791,0.0538377,0.01541136,0.00121565,0.06286618,0.27355369,0.01920983,0.07785842,0.11389901,0.0174729,0.0593252,0.02069399,0.51092669,0.19382618,0.2322023,0.2056085,0.19842417,0.07626147,0.0761702,0.07078757,0.1284084,0.04912392,0.04825068,0.21177722,0.29037698,0.55355211,0.08081627,0.27759436,0.19102226,0.13190492,0.10988125,0.26423802,0.37347681,0.54349417,0.59038552,0.48112968,0.28003179,0.31184518,0.23844714,0.05405064
2.5,0.09741813,0.36971312,0.02566934,0.19740187,0.0150491,0.0171269,0.02851323,0.06577765,0.06104907,0.09325043,0.07120758,0.18892382,0.02650285,0.14234503,0.02032865,0.02323239,0.0186958,0.02494427,0.02695362,0.00282146,0.01143719,0.006121,0.01004644,0.01466725,0.04774165,0.00574619,0.00660249,0.00818737,0.00763075,0.00696336,0.0171687,0.00783588,0.03920752,0.00638375,0.0055475,0.11562281,0.04335547,0.04578382,0.02999608,0.0212138,0.01816778,0.00965252,0.01165557,0.01315378,0.29726605,0.05630008,0.06388761,0.01563097,0.02210975,0.06672513,0.01380174,0.00681656,0.02051931,0.01250797,0.01626114,0.06433348,0.00620849,0.02917069,0.0088241,0.01465743,0.06557394,0.01396521,0.14482305,0.01007973,0.04919392,0.01460979,0.00108073,0.05901735,0.27234937,0.01855439,0.06897172,0.10536611,0.01640959,0.05530668,0.02163056,0.47284996,0.17480494,0.21075691,0.19064586,0.18991589,0.07248113,0.07662267,0.06439325,0.12571422,0.0447787,0.04626322,0.21980374,0.28563992,0.53803035,0.07752346,0.26759851,0.19358759,0.12943871,0.10610088,0.25001538,0.36234645,0.54582383,0.59390328,0.47065196,0.26400747,0.30059004,0.24586813,0.05569127
2.6,0.09474666,0.36895627,0.02433061,0.183296,0.0148844,0.01572258,0.02237613,0.05810193,0.05770737,0.08075373,0.0728771,0.17504722,0.02797372,0.13637843,0.01993298,0.02121284,0.01886549,0.02449643,0.02868654,0.00225925,0.01153327,0.00675179,0.00813331,0.01457172,0.04335522,0.00547,0.00674665,0.00816676,0.00711054,0.00712052,0.01641947,0.00730011,0.0357092,0.00649153,0.00612949,0.10752941,0.04592256,0.04199956,0.02862801,0.01965712,0.0171947,0.00912001,0.01153201,0.01304208,0.27958469,0.04913207,0.06364181,0.01366537,0.02121819,0.05345883,0.01282739,0.00715448,0.01837145,0.01276594,0.01599504,0.06187496,0.00597689,0.0282328,0.00798034,0.01410479,0.06695398,0.01368836,0.13803089,0.01016912,0.04431198,0.01325725,0.00096645,0.05500587,0.27360962,0.01974788,0.07190585,0.10218065,0.0149272,0.04958995,0.01987082,0.46682493,0.16247551,0.1899368,0.17585805,0.18610226,0.07804294,0.07396273,0.07165574,0.11797448,0.04085329,0.03994935,0.22617483,0.27917342,0.52108245,0.0713989,0.26664535,0.1978828,0.12112304,0.09890927,0.24033214,0.36441876,0.54870777,0.59701702,0.478636,0.25385051,0.28906513,0.25241102,0.05779348
2.8,0.08940288,0.36634863,0.02181767,0.16915085,0.01366945,0.01369234,0.02208153,0.05950906,0.05027667,0.06730059,0.06703638,0.15295795,0.03466624,0.12106188,0.01797757,0.01453627,0.01741092,0.01922736,0.03129719,0.00165423,0.01041681,0.00595214,0.0081271,0.01536446,0.03598653,0.00488486,0.00699709,0.00818044,0.00610199,0.00674976,0.01579346,0.00624532,0.02810718,0.00443951,0.00640531,0.10320228,0.05365805,0.03514698,0.02470643,0.01655426,0.01485331,0.00915281,0.00966089,0.01115281,0.25048242,0.04022555,0.05070581,0.01048995,0.02082943,0.0506216,0.01371809,0.00623245,0.01505013,0.01204048,0.01583944,0.04911424,0.00544128,0.02490283,0.00757186,0.01026442,0.06186594,0.0108401,0.12003521,0.01020925,0.03449713,0.01011042,0.00078402,0.04675223,0.25438542,0.0206354,0.07493243,0.10890107,0.01631962,0.04738238,0.01944078,0.47228963,0.14312588,0.15343376,0.14883253,0.19263054,0.08141202,0.07549245,0.07007522,0.09782687,0.03447759,0.0313669,0.19921087,0.26671097,0.51288035,0.06326475,0.25744073,0.19703721,0.10563228,0.08431493,0.22287067,0.36493129,0.52878284,0.59824644,0.47737785,0.24105184,0.25916649,0.26341879,0.05501882
3.0,0.08353162,0.35097536,0.0198804,0.15032037,0.0142772,0.01208516,0.01849312,0.05974684,0.0389073,0.05723582,0.06494807,0.133689,0.02814419,0.10612462,0.01385175,0.01218568,0.01655041,0.01822564,0.03000295,0.00132165,0.00916631,0.00552189,0.00955008,0.01777231,0.03014718,0.00426933,0.00728083,0.00797294,0.00624377,0.00576648,0.01640297,0.00519188,0.02124307,0.00331964,0.00589867,0.10610982,0.05538348,0.02928681,0.02091329,0.01352886,0.01154145,0.00809818,0.00999243,0.01036856,0.21984232,0.03541514,0.04200867,0.00832737,0.01883174,0.05116025,0.01351887,0.00498293,0.01380798,0.01018614,0.01576353,0.04673464,0.00518196,0.02314319,0.00862074,0.00916984,0.05352272,0.00938175,0.09553291,0.01024536,0.02791633,0.00932435,0.00067404,0.04208549,0.23871799,0.01933131,0.07531944,0.1153332,0.01982141,0.05158276,0.02052865,0.43750313,0.12033085,0.12559716,0.12159632,0.18391071,0.07596282,0.07448045,0.07085995,0.08774269,0.02975293,0.03054509,0.18178561,0.25849687,0.48322033,0.05575159,0.23627496,0.19211616,0.10010829,0.07352497,0.21026082,0.35750191,0.49109928,0.58755748,0.46162839,0.23476369,0.23557315,0.26553263,0.05659115
3.2,0.07798698,0.33096826,0.01837629,0.122919,0.01720831,0.01106434,0.01703746,0.05672727,0.03155414,0.04687414,0.05883986,0.12346298,0.02230795,0.09578732,0.01324502,0.01225094,0.01459124,0.01791521,0.03087686,0.00102828,0.00828065,0.00512262,0.00799617,0.01873364,0.02547991,0.00388737,0.00681885,0.00704371,0.00469339,0.00468202,0.01449104,0.00424986,0.01680774,0.00270674,0.00486705,0.11061214,0.05464345,0.02517551,0.01887229,0.01172093,0.00979067,0.00742103,0.01047587,0.00847159,0.19653987,0.03177593,0.03275994,0.00689406,0.01456133,0.04179096,0.01416434,0.00517831,0.01302197,0.00887209,0.01664064,0.06366493,0.00511211,0.02106865,0.0088536,0.00885075,0.04601078,0.00916589,0.07623546,0.00996186,0.02579255,0.00804545,0.00060341,0.03886396,0.24214965,0.01852669,0.07432533,0.1109121,0.0208504,0.03875412,0.0215006,0.39828705,0.09862956,0.10614728,0.10005591,0.1603347,0.07041383,0.07130613,0.0802391,0.08835457,0.02826352,0.02975791,0.19823367,0.25126792,0.42745449,0.04991423,0.22019675,0.17744826,0.10212781,0.06016074,0.19767727,0.34516487,0.45141313,0.5660963,0.4393685,0.23395444,0.21484916,0.26115727,0.05224157
3.4,0.07278197,0.31289753,0.01692955,0.10605894,0.01557994,0.01060122,0.01834973,0.05304965,0.02953812,0.0412445,0.05140762,0.11242482,0.02205279,0.07846385,0.01278448,0.01137067,0.01294218,0.01780368,0.03565062,0.00097628,0.00659113,0.00445467,0.0067521,0.01892973,0.02172097,0.0036271,0.00641555,0.00576031,0.00457462,0.00381799,0.01164602,0.00397437,0.01346818,0.00252051,0.00524373,0.1168253,0.05166828,0.02294128,0.01732565,0.0119598,0.00940951,0.00671019,0.01219977,0.00806233,0.17615169,0.02661243,0.02686092,0.00588314,0.01326348,0.04753876,0.01317689,0.00607029,0.01113036,0.00740291,0.01475134,0.06385199,0.00478457,0.01982415,0.00752823,0.00782166,0.04739433,0.00871151,0.06598117,0.00942676,0.02279142,0.00665236,0.00053574,0.03711142,0.2447232,0.01722061,0.07431921,0.09680963,0.02111297,0.03438117,0.02254079,0.38950349,0.09126479,0.0916691,0.08612084,0.14850241,0.0642295,0.0549274,0.07006809,0.07963399,0.02420054,0.02930141,0.17741127,0.23329137,0.37968561,0.04661787,0.20592149,0.15519834,0.10584227,0.05595199,0.18520288,0.33372621,0.41533819,0.54066922,0.40970139,0.23058822,0.20353796,0.25279243,0.04803547
3.5,0.07019907,0.30424472,0.01619719,0.09996147,0.01349172,0.01014303,0.01783632,0.0523763,0.03027057,0.03953388,0.04865836,0.10634217,0.021999,0.0740692,0.0125098,0.01124379,0.01257133,0.01714952,0.03596989,0.00094331,0.00622672,0.0048948,0.00670662,0.01873437,0.02011731,0.00352672,0.00615085,0.00540196,0.00534438,0.00345956,0.01031905,0.00393427,0.01221131,0.00238667,0.00519437,0.11877263,0.05250935,0.02189297,0.01878809,0.01243875,0.01035643,0.00624344,0.01291499,0.00820566,0.16690416,0.02540397,0.02468442,0.00546105,0.01325991,0.04541845,0.01244518,0.00654557,0.01106015,0.00726744,0.01317802,0.05649046,0.00461739,0.01929499,0.00693338,0.00760801,0.04837061,0.00836894,0.06197819,0.00908332,0.02260579,0.00587923,0.00050403,0.03654766,0.24790801,0.01695051,0.07518632,0.08947979,0.02137083,0.03299225,0.02193958,0.39166393,0.08651808,0.08567257,0.07987467,0.14268249,0.06069235,0.05323664,0.06628631,0.07353204,0.02197739,0.02921876,0.14654962,0.22490587,0.36121855,0.04560739,0.19849977,0.14446629,0.10150908,0.05554597,0.17963011,0.32787398,0.40200118,0.52303001,0.39321627,0.22768799,0.19702698,0.24736391,0.04488068
3.6,0.06786755,0.2959671,0.01556256,0.09407607,0.01119718,0.00953426,0.01625626,0.05293883,0.03082805,0.03852624,0.04494443,0.09920092,0.0214863,0.07083691,0.0137287,0.01135949,0.01165177,0.01667035,0.03611334,0.00092255,0.00668108,0.00546178,0.00682746,0.01857597,0.01866949,0.00332625,0.00593086,0.00551862,0.00575787,0.00320866,0.00963448,0.00391022,0.01125483,0.00224229,0.00507393,0.12005965,0.05273715,0.02088422,0.01927278,0.01320439,0.01085843,0.00591609,0.01317899,0.00811348,0.15805243,0.02504357,0.0222484,0.00508276,0.01323478,0.04237748,0.01152177,0.006933,0.01142607,0.00690882,0.01143183,0.04983414,0.00443808,0.01946258,0.00631582,0.00737376,0.04948326,0.00811203,0.0576964,0.00870109,0.02230294,0.00531342,0.00047409,0.03588288,0.25331558,0.01676353,0.07351401,0.08279256,0.02143355,0.03269379,0.01983817,0.39851004,0.08067009,0.08002244,0.07606043,0.13712597,0.06191266,0.05222508,0.06137506,0.07040944,0.02054804,0.03195422,0.12754156,0.21730477,0.34139569,0.045922,0.19151424,0.13385689,0.09447499,0.05633417,0.17366044,0.32146597,0.38907836,0.50360205,0.37570514,0.2234709,0.19060873,0.24158196,0.04185053
3.8,0.06376073,0.27936684,0.0145523,0.08303756,0.00908944,0.0078637,0.01649197,0.05091978,0.02546367,0.03765519,0.0413233,0.08473727,0.0196918,0.06172648,0.01671169,0.01171483,0.01011844,0.0159478,0.03768235,0.00086612,0.00677535,0.00639192,0.00662585,0.01845648,0.01617242,0.00286021,0.00551918,0.00614463,0.005778,0.00280533,0.00973873,0.00366891,0.00959488,0.00191814,0.00473695,0.12008826,0.05966417,0.01898418,0.01681726,0.01455039,0.0111017,0.00597055,0.01278797,0.0078846,0.14317289,0.02533654,0.01767928,0.00443742,0.01246265,0.04000061,0.00901881,0.00637503,0.01262212,0.00715596,0.00817038,0.0482517,0.00402084,0.01791571,0.00527226,0.00689378,0.05062922,0.00783522,0.05209536,0.00803577,0.02052692,0.0049537,0.00041958,0.03396367,0.25058744,0.01737019,0.07278641,0.06995561,0.02026736,0.03111911,0.01503873,0.42083441,0.0684833,0.07174521,0.07025505,0.12774618,0.06478535,0.05245678,0.04984011,0.07666952,0.01761352,0.03704994,0.11053917,0.1960411,0.29847195,0.05305752,0.17922437,0.1186058,0.08110518,0.05504549,0.16105949,0.30768746,0.36490174,0.46209088,0.33877115,0.21458684,0.18193934,0.22795857,0.03705964
4.0,0.05988354,0.26341482,0.01361365,0.07320164,0.00780357,0.00678915,0.01640071,0.04485209,0.02126605,0.03607378,0.04003476,0.07445278,0.01912889,0.05349349,0.01627344,0.01278446,0.00866664,0.01647888,0.03683727,0.00077483,0.00632253,0.00710384,0.00590977,0.01809754,0.01411255,0.00241604,0.00492035,0.0058682,0.00501857,0.00243495,0.01051854,0.00341601,0.00822807,0.00153444,0.00510202,0.11562034,0.0624808,0.01722669,0.01484696,0.01411476,0.00995182,0.00679982,0.01112953,0.00724726,0.12935917,0.02306271,0.01493232,0.00391937,0.01107947,0.03683264,0.00908028,0.00513487,0.01283562,0.00691737,0.00583914,0.04793632,0.00340321,0.01963988,0.00417476,0.00739494,0.05001809,0.0074253,0.04728396,0.00744528,0.01893763,0.00468001,0.00037222,0.03164373,0.2452689,0.01837103,0.07100962,0.06341843,0.02267482,0.03024809,0.0161549,0.44053004,0.05685751,0.06756459,0.0670327,0.11972518,0.05840792,0.05001265,0.04398096,0.0781933,0.01491775,0.03804357,0.10557515,0.18780114,0.25454344,0.05713537,0.16308612,0.10588214,0.07613917,0.05206985,0.14867383,0.2930989,0.33914556,0.41738699,0.30141276,0.20507258,0.17406183,0.21400401,0.03577105
4.2,0.05654284,0.24842088,0.01286966,0.06464836,0.0078759,0.00574781,0.01887148,0.04125503,0.0188446,0.03275248,0.04026409,0.07129379,0.01734407,0.05162881,0.01382043,0.01028223,0.00759512,0.01795216,0.0374665,0.00066089,0.00632967,0.00696125,0.00492192,0.01782948,0.01239984,0.00221725,0.00423942,0.00489109,0.00444518,0.00210966,0.01000731,0.00306846,0.0071909,0.00127516,0.00566431,0.10767366,0.06629258,0.01561638,0.01379297,0.01251003,0.00950523,0.00716799,0.00972926,0.00602993,0.12650234,0.01867717,0.01387139,0.00352622,0.01026493,0.02991478,0.00857682,0.00437381,0.01298345,0.00699853,0.00449955,0.04539075,0.0029332,0.02240625,0.00323898,0.00752675,0.04981151,0.00726848,0.04230531,0.0068448,0.01942262,0.00400301,0.00033142,0.03036336,0.23140561,0.01925297,0.06503487,0.05267663,0.02668261,0.03150582,0.0166084,0.45225723,0.04589845,0.0627927,0.06621404,0.11675272,0.04943992,0.05281256,0.04882815,0.07364782,0.01273655,0.03694385,0.11421633,0.17839767,0.2138598,0.05819254,0.154481,0.09536168,0.07320878,0.04665108,0.13693903,0.27762413,0.31261714,0.37400259,0.27578652,0.19269753,0.16544601,0.20138881,0.03971387
4.4,0.05358857,0.23472093,0.01223468,0.05712647,0.00741251,0.00502365,0.02205167,0.03587638,0.01720288,0.03209146,0.04509337,0.06679653,0.01492106,0.05093176,0.01176688,0.00916449,0.00617516,0.01760361,0.03608611,0.00057378,0.00616589,0.00698022,0.00384734,0.01578135,0.01096486,0.00216942,0.0035117,0.00408469,0.00391622,0.00186635,0.00994115,0.00259871,0.00666503,0.00118785,0.00533902,0.09597143,0.06853005,0.01415189,0.01278316,0.01097805,0.00870651,0.00747113,0.01062809,0.00495311,0.13800974,0.01498842,0.01346684,0.00319075,0.00927126,0.02574106,0.00839141,0.00498568,0.01219212,0.00730327,0.00389523,0.04320728,0.00262802,0.02279095,0.00253381,0.00761642,0.04857495,0.00685666,0.03756524,0.00623163,0.01929328,0.00316502,0.00029639,0.02805794,0.21341843,0.01986258,0.05915303,0.0423455,0.02797503,0.03372302,0.0159973,0.45762011,0.04094241,0.05815136,0.06664332,0.11801686,0.04347858,0.06083755,0.04815708,0.06799787,0.01114439,0.03386118,0.12502773,0.16813849,0.18272492,0.05725338,0.13981275,0.0895219,0.06914879,0.04773669,0.1255386,0.26083663,0.28686815,0.33361388,0.25447429,0.18110215,0.15721368,0.18880042,0.04637471
4.6,0.05071891,0.22175817,0.01160006,0.05292506,0.00675306,0.00454412,0.0245081,0.03051246,0.01757199,0.02996103,0.04748321,0.06060089,0.01314167,0.05337308,0.00986279,0.00948373,0.00453285,0.0152985,0.03320426,0.00049908,0.00551506,0.0067944,0.00320208,0.01415411,0.00975377,0.00219822,0.00291369,0.00354193,0.00347812,0.00170083,0.00925551,0.00223189,0.00629252,0.0010837,0.00505127,0.08500078,0.06931517,0.01322225,0.01185539,0.0099004,0.00749713,0.00705676,0.01289689,0.00458139,0.14424704,0.01326055,0.01290988,0.00289844,0.00819571,0.02210984,0.00857796,0.00545369,0.01132756,0.00691132,0.00363949,0.04212006,0.00228837,0.0219886,0.00217809,0.00713745,0.04736495,0.00645992,0.03295463,0.00557636,0.01858733,0.00260684,0.00026626,0.02520205,0.19163304,0.01957698,0.05272704,0.03925729,0.02732593,0.03610446,0.0150611,0.45387472,0.0365753,0.05344222,0.06440863,0.11913323,0.0410172,0.06330901,0.0440697,0.05893127,0.01026503,0.03049392,0.13866583,0.15890491,0.16325354,0.05399414,0.12935389,0.08659176,0.0649118,0.05096309,0.11504006,0.24242993,0.26208536,0.29586083,0.23374043,0.17390816,0.15163448,0.17563612,0.05069877
